province,city,position,district,candidate_name,party,votes,rank
NUEVA ECIJA,TALUGTUG,MAYOR,,"MONTA, AMANG",SIGAW,8909,114265
NUEVA ECIJA,ZARAGOZA,MAYOR,,"BUENDIA, EDWIN",SIGAW,19728,115035
NUEVA VIZCAYA,ALFONSO CASTANEDA,MAYOR,,"CAPIA-AO, WILSON",LAKAS,2151,223570
NUEVA VIZCAYA,AMBAGUIO,MAYOR,,"LINO, LEON",LAKAS,5240,225781
NUEVA VIZCAYA,ARITAO,MAYOR,,"PEROS, DOCTORA REMELYN",LAKAS,15172,224668
NUEVA VIZCAYA,BAGABAG,MAYOR,,"CALAUAD, BENIGNO",PFP,11734,225489
NUEVA VIZCAYA,BAMBANG,MAYOR,,"CUARESMA, JAMIE",LAKAS,18053,226868
NUEVA VIZCAYA,BAYOMBONG,MAYOR,,"BAGASAO, TONY",LAKAS,20434,227416
NUEVA VIZCAYA,DIADI,MAYOR,,"GAYATON, SANDY",NP,8360,226049
NUEVA VIZCAYA,DUPAX DEL NORTE,MAYOR,,"CAYTON, PAOLO",AKSYON,10095,226327
NUEVA VIZCAYA,DUPAX DEL SUR,MAYOR,,"DONGUIS, MICHAEL",LAKAS,7789,225216
NUEVA VIZCAYA,KASIBU,MAYOR,,"BUMOLO, ALBERTO JR.",NP,18886,226598
NUEVA VIZCAYA,KAYAPA,MAYOR,,"BALASYA, ELIZABETH",LAKAS,10176,224398
NUEVA VIZCAYA,QUEZON,MAYOR,,"DASALLA, EDUARDO",NP,7461,223858
NUEVA VIZCAYA,SANTA FE,MAYOR,,"BENITO, TIDONG",NP,6358,224943
NUEVA VIZCAYA,SOLANO,MAYOR,,"DACAYO, PHILIP",LAKAS,22573,227137
NUEVA VIZCAYA,VILLAVERDE,MAYOR,,"DACUMOS, KRUWEL",NP,5819,224132
OCCIDENTAL MINDORO,ABRA DE ILOG,MAYOR,,"CONSTANTINO, MAYOR MEG",LP,10441,313702
OCCIDENTAL MINDORO,CALINTAAN,MAYOR,,"OREIRO, GEORGE",AKSYON,7183,314250
OCCIDENTAL MINDORO,LOOC,MAYOR,,"DELA TORRE, MARLON",PFP,4691,312910
OCCIDENTAL MINDORO,LUBANG,MAYOR,,"ORAYANI, MIKE",IND,5866,312650
OCCIDENTAL MINDORO,MAGSAYSAY,MAYOR,,"TRIA, JUN-JUN",PFP,12610,312390
OCCIDENTAL MINDORO,MAMBURAO,MAYOR,,"MASANGKAY, BOY",NUP,13278,313970
OCCIDENTAL MINDORO,PALUAN,MAYOR,,"FERNANDEZ, JASMIN",PFP,7995,313176
OCCIDENTAL MINDORO,RIZAL,MAYOR,,"PABLO, SONNY",NP,13447,313435
OCCIDENTAL MINDORO,SABLAYAN,MAYOR,,"MINTU, EDWIN",NUP,34441,311866
OCCIDENTAL MINDORO,SAN JOSE,MAYOR,,"LADAGA, REY",PFP,43281,314510
OCCIDENTAL MINDORO,SANTA CRUZ,MAYOR,,"TORRELIZA, ERNIE",PFP,15095,312131
ORIENTAL MINDORO,BACO,MAYOR,,"CASTILLO, ERIC",GSM,13818,315326
ORIENTAL MINDORO,BANSUD,MAYOR,,"MORADA, RONALDO",PFP,13724,316920
ORIENTAL MINDORO,BONGABONG,MAYOR,,"MALALUAN, MIKE",GSM,17299,315046
ORIENTAL MINDORO,BULALACAO,MAYOR,,"CABAGAY, LUMEL LG",PFP,14695,318509
ORIENTAL MINDORO,CITY OF CALAPAN,MAYOR,,"IGNACIO, BIM",MBS,47035,317457
ORIENTAL MINDORO,GLORIA,MAYOR,,"CONDESA,WILFREDO",LAKAS,15117,318247
ORIENTAL MINDORO,MANSALAY,MAYOR,,"MALIWANAG, FERDINAND",PFP,21942,315863
ORIENTAL MINDORO,NAUJAN,MAYOR,,"TEVES, HENRY JOEL",LAKAS,30832,316661
ORIENTAL MINDORO,PINAMALAYAN,MAYOR,,"BALDOS, ARIS",PFP,24606,315594
ORIENTAL MINDORO,POLA,MAYOR,,"CRUZ, INA ALEGRE",GSM,12955,316128
ORIENTAL MINDORO,PUERTO GALERA,MAYOR,,"ILAGAN, ROCKY",LAKAS,17723,317984
ORIENTAL MINDORO,ROXAS,MAYOR,,"QUIATCHON, BONG",GSM,18372,317725
ORIENTAL MINDORO,SAN TEODORO,MAYOR,,"MIRANDA, KAREN",LP,5611,314779
ORIENTAL MINDORO,SOCORRO,MAYOR,,"PEREZ, NEMMEN",LAKAS,12610,317189
ORIENTAL MINDORO,VICTORIA,MAYOR,,"INCIONG, RICHARD",LAKAS,12921,316387
PALAWAN,ABORLAN,MAYOR,,"TITO, LITO",NP,13753,310535
PALAWAN,AGUTAYA,MAYOR,,"ZUMARAGA, JOEY",PPP,2777,311341
PALAWAN,ARACELI,MAYOR,,"CUDILLA, SUE",PRP,5439,310014
PALAWAN,BALABAC,MAYOR,,"ASTAMI, SHUAIB",PPP,15045,308175
PALAWAN,BATARAZA,MAYOR,,"IBBA, AL-SHARIFF",PPP,34100,311606
PALAWAN,BROOKE'S POINT,MAYOR,,"BENEDITO, CESAREO JR.",PPP,26125,308429
PALAWAN,BUSUANGA,MAYOR,,"CRUZ, RC",IND,8537,307642
PALAWAN,CAGAYANCILLO,MAYOR,,"TAPALLA, SERGIO",PPP,3559,307919
PALAWAN,CITY OF PUERTO PRINCESA,MAYOR,,"MARISTELA, JIMBO",LP,79539,307367
PALAWAN,CORON,MAYOR,,"PALANCA, ASIAN",PFP,24035,309479
PALAWAN,CUYO,MAYOR,,"TIMBANCAYA, ED",PRP,7646,310810
PALAWAN,DUMARAN,MAYOR,,"HERRERA, CHARD",PRP,5372,306545
PALAWAN,EL NIDO,MAYOR,,"ROSENTO, JOEL",PRP,17262,309215
PALAWAN,LINAPACAN,MAYOR,,"NERI, EMIL",IND,5229,308694
PALAWAN,MAGSAYSAY,MAYOR,,"DELA TORRE, ROMMEL",PRP,4997,308950
PALAWAN,NARRA,MAYOR,,"DANAO, GERANDY",AKSYON,24709,306810
PALAWAN,QUEZON,MAYOR,,"AYOD, LEONARD VINCENT",NPC,13311,307095
PALAWAN,ROXAS,MAYOR,,"SABANDO, KUMPAY PEDY",PPP,18403,309742
PALAWAN,SAN VICENTE,MAYOR,,"LIBARRA, MENCHIE",PPP,14785,311075
PALAWAN,TAYTAY,MAYOR,,"LIM, NORBERT SALVAME",PRP,24383,310278
PAMPANGA,APALIT,MAYOR,,"TETANGCO, JUN",NPC,42814,85708
PAMPANGA,ARAYAT,MAYOR,,"LURIZ, JEFFREY",NPC,38765,86221
PAMPANGA,BACOLOR,MAYOR,,"DATU, DIMAN",KMBLN,34372,88287
PAMPANGA,CANDABA,MAYOR,,"MACAPAGAL, ATE THELMA",NPC,45878,83125
PAMPANGA,CITY OF ANGELES,MAYOR,,"LAZATIN, CARMELO JON",LAKAS,98164,84397
PAMPANGA,CITY OF SAN FERNANDO,MAYOR,,"GONZALES, BRENZ",PFP,128191,87527
PAMPANGA,FLORIDABLANCA,MAYOR,,"GALANG, MICHAEL",KMBLN,26713,85166
PAMPANGA,GUAGUA,MAYOR,,"LIM, VICE JUN",KMBLN,41655,83902
PAMPANGA,LUBAO,MAYOR,,"PINEDA, ESMIE",KMBLN,58657,84921
PAMPANGA,MABALACAT CITY,MAYOR,,"CASTRO, JUN",KMBLN,73477,84662
PAMPANGA,MACABEBE,MAYOR,,"FLORES, BOBONG",NP,27733,88037
PAMPANGA,MAGALANG,MAYOR,,"LACSON, MALU-PARAS",NPC,37760,84150
PAMPANGA,MASANTOL,MAYOR,,"GUINTU, DAN",NPC,19673,83386
PAMPANGA,MEXICO,MAYOR,,"GONZALES, RUDING",LAKAS,46841,86752
PAMPANGA,MINALIN,MAYOR,,"NAGUIT, PHILIP",KMBLN,21191,86497
PAMPANGA,PORAC,MAYOR,,"CAPIL, JING",IND,39939,83644
PAMPANGA,SAN LUIS,MAYOR,,"SAGUM, DR. J",NP,26459,87010
PAMPANGA,SAN SIMON,MAYOR,,"CANLAS, ANNE",LAKAS,18726,85441
PAMPANGA,SANTA ANA,MAYOR,,"NACPIL, ODAY",KMBLN,20092,87263
PAMPANGA,SANTA RITA,MAYOR,,"CALO, REYNAN",IND,14256,87782
PAMPANGA,SASMUAN,MAYOR,,"CABRERA, LINA BAGASINA",LAKAS,12677,85959
PAMPANGA,STO. TOMAS,MAYOR,,"RONQUILLO, NINANG",LAKAS,16021,82864
PANGASINAN,AGNO,MAYOR,,"CELESTE, JOHN",NPC,10293,343145
PANGASINAN,AGUILAR,MAYOR,,"ZAMUCO, DONDON",NPC,16010,342375
PANGASINAN,ALCALA,MAYOR,,"CALLEJO, JOJO",LAKAS,18532,335788
PANGASINAN,ANDA,MAYOR,,"CATABAY, ERWIN",NP,16473,342121
PANGASINAN,ASINGAN,MAYOR,,"CHUA, HEIDEE",NPC,23166,336039
PANGASINAN,BALUNGAO,MAYOR,,"PERALTA, PHILIPP",PMP,12862,334767
PANGASINAN,BANI,MAYOR,,"YAMAMOTO, GWEN",NP,21897,336291
PANGASINAN,BASISTA,MAYOR,,"RESUELLO, JR.",NPC,18463,343402
PANGASINAN,BAUTISTA,MAYOR,,"ESPINO, JOREN AARON",API,11830,341365
PANGASINAN,BAYAMBANG,MAYOR,,"SABANGAN, IC-RAUL",NP,41795,342631
PANGASINAN,BINALONAN,MAYOR,,"GUICO, RAMON RONALD IV",LAKAS,27459,338076
PANGASINAN,BINMALEY,MAYOR,,"MERRERA, PEDRO III",IND,32306,334262
PANGASINAN,BOLINAO,MAYOR,,"CELESTE, BOYING",NP,36794,339593
PANGASINAN,BUGALLON,MAYOR,,"MADRIGUERA, BENJIE",API,25590,335271
PANGASINAN,BURGOS,MAYOR,,"GUIANG, ALBERTO JR.",NP,9864,334013
PANGASINAN,CALASIAO,MAYOR,,"CARAMAT, PATRICK",NP,48591,340609
PANGASINAN,CITY OF ALAMINOS,MAYOR,,"PEREZ, ANTON",NP,44231,338586
PANGASINAN,CITY OF DAGUPAN,MAYOR,,"FERNANDEZ, BELEN",PFP,81977,337046
PANGASINAN,CITY OF SAN CARLOS,MAYOR,,"RESUELLO, BOGS",NP,59903,343914
PANGASINAN,DASOL,MAYOR,,"BERNAL, SADONG",NP,13149,340355
PANGASINAN,INFANTA,MAYOR,,"VALLARTA, DOC-VIR",API,8619,336798
PANGASINAN,LABRADOR,MAYOR,,"ARENAS-YANEZA, SORAY",IND,10465,338333
PANGASINAN,LINGAYEN,MAYOR,,"CRISOSTOMO, JM",NPC,40738,335533
PANGASINAN,MABINI,MAYOR,,"REYES, COLIN",NP,9220,339843
PANGASINAN,MALASIQUI,MAYOR,,"SORIANO, ALFE",NP,49757,340099
PANGASINAN,MANAOAG,MAYOR,,"CHING, DOMY",NP,32731,337304
PANGASINAN,MANGALDAN,MAYOR,,"DE VERA-PARAYNO, BONA",NUP,32909,340856
PANGASINAN,MANGATAREM,MAYOR,,"PALISOC, RONNIE",PDPLBN,28586,337809
PANGASINAN,MAPANDAN,MAYOR,,"VEGA, KARL CHRISTIAN",NP,18873,338837
PANGASINAN,NATIVIDAD,MAYOR,,"SUPNET, APRIL",LAKAS,8441,339344
PANGASINAN,POZORRUBIO,MAYOR,,"CHAN, KELVIN",LAKAS,32580,339090
PANGASINAN,ROSALES,MAYOR,,"CEZAR, LIAM",NPC,35008,335018
PANGASINAN,SAN FABIAN,MAYOR,,"AGBAYANI, MARLYN",LAKAS,37175,341116
PANGASINAN,SAN JACINTO,MAYOR,,"DE VERA, LEO",LAKAS,19287,337552
PANGASINAN,SAN MANUEL,MAYOR,,"PEREZ, KENNETH MARCO",NPC,25486,334518
PANGASINAN,SAN NICOLAS,MAYOR,,"PRIMICIAS, ALICIA",LAKAS,15494,342887
PANGASINAN,SAN QUINTIN,MAYOR,,"LUMAHAN, FARAH LEE",LAKAS,13723,341615
PANGASINAN,SANTA BARBARA,MAYOR,,"ZAPLAN, CARLITO",NP,27717,343659
PANGASINAN,SANTA MARIA,MAYOR,,"RAMOS, TEODORO",NPC,14904,336545
PANGASINAN,SANTO TOMAS,MAYOR,,"VILLAR, DICK",LAKAS,5486,341873
QUEZON,AGDANGAN,MAYOR,,"AGUILAR, VENCHIE",STAN Q,4778,77175
QUEZON,ALABAT,MAYOR,,"URSOLINO, HILDA",NPC,5793,73846
QUEZON,ATIMONAN,MAYOR,,"VIDAL, KAP JUN",STAN Q,15492,74103
QUEZON,BUENAVISTA,MAYOR,,"ROSILLA, KUYA REY",STAN Q,10802,71809
QUEZON,BURDEOS,MAYOR,,"GONZALES, GINA",STAN Q,6148,71554
QUEZON,CALAUAG,MAYOR,,"VISORDE, ROSALINA",STAN Q,28170,75890
QUEZON,CANDELARIA,MAYOR,,"SUAYAN, OGIE",AKBYN,39246,75639
QUEZON,CATANAUAN,MAYOR,,"ORFANEL, RAMON",STAN Q,21864,72824
QUEZON,CITY OF LUCENA,MAYOR,,"ALCALA, KUYA MARK",STAN Q,136006,71293
QUEZON,DOLORES,MAYOR,,"CALAYAG, ORLAN",NP,14806,76923
QUEZON,GENERAL LUNA,MAYOR,,"BATARIANO, LAICA",AKSYON,8227,73080
QUEZON,GENERAL NAKAR,MAYOR,,"PUJEDA, FRED",PRP,9951,76151
QUEZON,GUINAYANGAN,MAYOR,,"ISAAC, BOYBOY",STAN Q,18129,74373
QUEZON,GUMACA,MAYOR,,"LETARGO, WEBSTER",NP,21795,74620
QUEZON,INFANTA,MAYOR,,"RUANTO, L.A.",STAN Q,22999,73334
QUEZON,JOMALIG,MAYOR,,"SARMIENTO, NELMAR",NP,2935,73589
QUEZON,LOPEZ,MAYOR,,"VILLANUEVA, DANNY",STAN Q,32514,74873
QUEZON,LUCBAN,MAYOR,,"VILLAVERDE, TENTEN",STAN Q,17838,72566
QUEZON,MACALELON,MAYOR,,"MAMBURAO, ARTEM",STAN Q,9758,77445
QUEZON,MAUBAN,MAYOR,,"SARDEA, SIR ALWEEN",STAN Q,31229,72313
QUEZON,MULANAY,MAYOR,,"AGUIRRE, ARIS",STAN Q,18496,75122
QUEZON,PADRE BURGOS,MAYOR,,"ALTEZ, FRANCIS",NPC,7361,76666
QUEZON,PAGBILAO,MAYOR,,"PORTES, ATE GIGI",NPC,21167,71039
QUEZON,PANUKULAN,MAYOR,,"PEÑAMANTE, KEYSEAN",WPP,7468,72065
QUEZON,PATNANUNGAN,MAYOR,,"LARITA, CLARA",STAN Q,5142,75380
QUEZON,PEREZ,MAYOR,,"ESCALONA, CHA",STAN Q,5266,76409
QUIRINO,AGLIPAY,MAYOR,,"AGSALDA, JERRY",NPC,13850,232610
QUIRINO,CABARROGUIS,MAYOR,,"DULNUAN, FRANCISCO JR.",PFP,14462,232862
QUIRINO,DIFFUN,MAYOR,,"CORPUZ, MARLITO",PFP,20081,233371
QUIRINO,MADDELA,MAYOR,,"SALVADOR, JUNJUN",IND,13881,233875
QUIRINO,NAGTIPUNAN,MAYOR,,"LIM, NOEL",NPC,13150,233113
QUIRINO,SAGUDAY,MAYOR,,"CADIENTE, RIC",PFP,5544,233625
RIZAL,ANGONO,MAYOR,,"CALDERON, GERRY",NPC,41048,69489
RIZAL,BARAS,MAYOR,,"ROBLES, KC",NPC,23725,69745
RIZAL,BINANGONAN,MAYOR,,"YNARES, RHEA",NPC,82101,68396
RIZAL,CAINTA,MAYOR,,"NIETO, KIT NIETO",NPC,118965,70531
RIZAL,CARDONA,MAYOR,,"PANDAC, GILDOK",LAKAS,14522,68135
RIZAL,CITY OF ANTIPOLO,MAYOR,,"PUNO, RANDY",NUP,225442,67321
RIZAL,JALA-JALA,MAYOR,,"AÑAGO, HARRY",PFP,11524,70782
RIZAL,MORONG,MAYOR,,"SORIANO, MAYOR SIDNEY",NPC,20274,69225
RIZAL,PILILLA,MAYOR,,"MASINSIN, DAN",KNP,18880,68946
RIZAL,RODRIGUEZ,MAYOR,,"SISON, UMPEK",NPC,134020,67602
RIZAL,SAN MATEO,MAYOR,,"ROXAS, JIMMY",NPC,65848,70013
RIZAL,TANAY,MAYOR,,"TANJUATCO, RM",NPC,38695,67869
RIZAL,TAYTAY,MAYOR,,"DE LEON, ALLAN",NPC,85348,68663
RIZAL,TERESA,MAYOR,,"DELA CRUZ, RODEL",NPC,29772,70274
ROMBLON,ALCANTARA,MAYOR,,"GALICIA-PAMORADA, RIZA",NP,6038,301059
ROMBLON,BANTON,MAYOR,,"FADERANGA, MILAGROS",NP,2523,302375
ROMBLON,CAJIDIOCAN,MAYOR,,"RAMOS, GREGGY",NP,8672,301590
ROMBLON,CALATRAVA,MAYOR,,"FABELLA, BONG",NP,4366,300801
ROMBLON,CONCEPCION,MAYOR,,"FAMERONAG, NICON",PFP,1601,302881
ROMBLON,CORCUERA,MAYOR,,"FRUELDA, ELMER",NP,4574,304712
ROMBLON,FERROL,MAYOR,,"SARMIENTO, JOENAN",NP,2909,303676
ROMBLON,LOOC,MAYOR,,"ARBOLEDA, LISETTE",NP,9931,302627
ROMBLON,MAGDIWANG,MAYOR,,"MACHON, NOLING",NP,4273,303942
ROMBLON,ODIONGAN,MAYOR,,"FODRA, TOTO",PFP,16551,302117
ROMBLON,ROMBLON,MAYOR,,"MONTOJO, GARD",NP,17144,304460
ROMBLON,SAN AGUSTIN,MAYOR,,"MADRONA, AARON",NP,10940,304203
ROMBLON,SAN ANDRES,MAYOR,,"IBAÑEZ, JOEL",NPC,7273,301324
ROMBLON,SAN FERNANDO,MAYOR,,"REPIL, RENZ",NP,7730,303143
ROMBLON,SAN JOSE,MAYOR,,"SAMSON, RONNIE",NP,3371,303403
ROMBLON,SANTA FE,MAYOR,,"VISCA, ASHER",NP,4961,301849
ROMBLON,SANTA MARIA,MAYOR,,"FABON, BIC BIC",NP,3964,300544
SAMAR,ARTECHE,MAYOR,,"EVARDONE, BOWAD",PFP,7366,195295
SAMAR,BALANGIGA,MAYOR,,"DE LIRA, DANA",PFP,5754,199174
SAMAR,BALANGKAYAN,MAYOR,,"CONTADO, ALLAN",PFP,4271,198657
SAMAR,CAN-AVID,MAYOR,,"TEVES, ALICIA",PFP,9898,197359
SAMAR,CITY OF BORONGAN,MAYOR,,"TIU SONCO, EMMANUEL",LAKAS,26277,196588
SAMAR,DOLORES,MAYOR,,"CARPESO, ZALDY",PFP,14409,196062
SAMAR,GENERAL MACARTHUR,MAYOR,,"BALDO, JOEL",PFP,4883,197102
SAMAR,GIPORLOS,MAYOR,,"GO, GILBERT",PFP,5705,197621
SAMAR,GUIUAN,MAYOR,,"CABACABA-RAMIREZ, VERONICA(PFP",,25384,196332
SAMAR,HERNANI,MAYOR,,"PONFERRADA, SOCORRO",IND,4277,199703
SAMAR,JIPAPAD,MAYOR,,"VER, BENJAMIN",PFP,3872,195803
SAMAR,LAWAAN,MAYOR,,"MENDROS, ATHENE",LAKAS,6921,198917
SAMAR,LLORENTE,MAYOR,,"CONDRADA, JONNIE",PFP,6609,194512
SAMAR,MASLOG,MAYOR,,"SANTIAGO, SEPTEMIO BOK",PFP,3015,197881
SAMAR,MAYDOLONG,MAYOR,,"BORJA, LOUIE",IND,5289,196844
SAMAR,MERCEDES,MAYOR,,"QUIMINALES, EDWIN",LAKAS,2882,194772
SAMAR,ORAS,MAYOR,,"ADOR, ORAMISMO",LAKAS,13052,198129
SAMAR,QUINAPONDAN,MAYOR,,"CANDIDO, LEO JASPER",PFP,5032,195036
SAMAR,SALCEDO,MAYOR,,"MERGAL, MELCHOR",PFP,7330,194249
SAMAR,SAN JULIAN,MAYOR,,"ESTARON, DENNIS",LAKAS,4726,198391
SAMAR,SAN POLICARPO,MAYOR,,"NICART, MANANG",PFP,6877,199957
SAMAR,SULAT,MAYOR,,"EVARDONE, DONDON",PFP,8796,195551
SAMAR,TAFT,MAYOR,,"TY, AMAGINA",PFP,8341,199437
SARANGANI,ALABEL,MAYOR,,"SALARDA, YBING",PCM,34371,3433
SARANGANI,GLAN,MAYOR,,"YAP, TATA",PCM,42909,4498
SARANGANI,KIAMBA,MAYOR,,"ANCHETA, MARIE JESS",PCM,21852,5009
SARANGANI,MAASIM,MAYOR,,"NAMBATAC, VISITACION",PCM,23998,3960
SARANGANI,MAITUM,MAYOR,,"REGANIT, JAMES MARK",PCM,19246,4755
SARANGANI,MALAPATAN,MAYOR,,"SUMBO, JUN",PCM,30503,3707
SARANGANI,MALUNGON,MAYOR,,"CONSTANTINO, TESSA",PCM,46906,4233
SIQUIJOR,ENRIQUE VILLANUEVA,MAYOR,,"PAL-ING, GEROLD",PFP,3073,217613
SIQUIJOR,LARENA,MAYOR,,"CALIBO, CYRUS VINCENT",AKSYON,5853,217353
SIQUIJOR,LAZI,MAYOR,,"LARGO, MUCHO",PFP,8438,217091
SIQUIJOR,MARIA,MAYOR,,"ASOK, ROSELYN",PFP,7070,217867
SIQUIJOR,SAN JUAN,MAYOR,,"RAGAY, NANANG MAATA",PFP,6572,216831
SIQUIJOR,SIQUIJOR,MAYOR,,"DUHAYLUNGSOD, ADAMS",PFP,10903,218124
SORSOGON,BARCELONA,MAYOR,,"FALCOTELO-FORTES, CYNTHIA",NPC,12329,140219
SORSOGON,BULAN,MAYOR,,"ROBLES, ATE CHEZKA",NPC,41177,139703
SORSOGON,BULUSAN,MAYOR,,"GUYSAYKO, MIKE",NPC,11050,139175
SORSOGON,CASIGURAN,MAYOR,,"HAMOR, EM",NPC,17311,139428
SORSOGON,CASTILLA,MAYOR,,"MENDOZA, BONG",NPC,27324,138907
SORSOGON,CITY OF SORSOGON,MAYOR,,"HAMOR, ESTER",NPC,77331,138378
SORSOGON,DONSOL,MAYOR,,"ABETRIA, TANANG",NPC,16952,138650
SORSOGON,GUBAT,MAYOR,,"LIM, RONNEL",NPC,16903,137573
SORSOGON,IROSIN,MAYOR,,"CIELO, PIDOY",NPC,24365,136761
SORSOGON,JUBAN,MAYOR,,"FULLEROS, ROGEL",NPC,12854,137305
SORSOGON,MAGALLANES,MAYOR,,"RAGRAGIO, TITO MR",NPC,14820,139960
SORSOGON,MATNOG,MAYOR,,"UBALDO, JAY",NPC,15247,138115
SORSOGON,PILAR,MAYOR,,"LAO, PAPALAO",NPC,30668,140481
SORSOGON,PRIETO DIAZ,MAYOR,,"DOMASIAN, ROMY",NPC,10808,137847
SORSOGON,SANTA MAGDALENA,MAYOR,,"LOZANO, MARK JEWERY",NPC,5886,137032
SOUTH COTABATO,BANGA,MAYOR,,"PALENCIA, ALBERT",PFP,25280,507
SOUTH COTABATO,CITY OF GENERAL SANTOS,MAYOR,,"PACQUIAO, LORELIE",PCM,147992,3147
SOUTH COTABATO,CITY OF KORONADAL,MAYOR,,"OGENA, ELIORDO",PFP,66791,1036
SOUTH COTABATO,LAKE SEBU,MAYOR,,"GANDAM, FLORO JR.",PFP,19826,1314
SOUTH COTABATO,NORALA,MAYOR,,"FEDOC, CLEMENTE",PFP,18108,1587
SOUTH COTABATO,POLOMOLOK,MAYOR,,"PALENCIA, BERNIE",AKSYON,46917,2377
SOUTH COTABATO,SANTO NIÑO,MAYOR,,"VILLALOBOS, SOLLY",PFP,15956,2906
SOUTH COTABATO,SURALLAH,MAYOR,,"ESLABON, HAROLD",PFP,31162,250
SOUTH COTABATO,T'BOLI,MAYOR,,"TUAN, KEO DAYLE",AKSYON,25884,1855
SOUTH COTABATO,TAMPAKAN,MAYOR,,"ESCOBILLO, JUNJUN",PFP,15697,777
SOUTH COTABATO,TANTANGAN,MAYOR,,"DASILAO, CESAR",PFP,18898,2123
SOUTH COTABATO,TUPI,MAYOR,,"TAMAYO, ROMEO",PFP,32045,2645
SOUTHERN LEYTE,ANAHAWAN,MAYOR,,"LUNA, ALFREDO JR.",LAKAS,3023,203517
SOUTHERN LEYTE,BONTOC,MAYOR,,"ALINSUB, NOEL",LAKAS,12602,201978
SOUTHERN LEYTE,CITY OF MAASIN,MAYOR,,"ABIERA, EFFIE",NP,27651,202748
SOUTHERN LEYTE,HINUNANGAN,MAYOR,,"TOCMO, YMARD",AKSYON,11155,202486
SOUTHERN LEYTE,HINUNDAYAN,MAYOR,,"CADINGAN, ELISA",AKSYON,5910,204043
SOUTHERN LEYTE,LIBAGON,MAYOR,,"SALDIVAR, BETH",LAKAS,5024,201722
SOUTHERN LEYTE,LILOAN,MAYOR,,"ADAN, JONNA",LAKAS,10811,200713
SOUTHERN LEYTE,LIMASAWA,MAYOR,,"PETRACORTA, MELCHOR",LAKAS,3138,201217
SOUTHERN LEYTE,MACROHON,MAYOR,,"EDILLO, FE",TINGOG,8252,201466
SOUTHERN LEYTE,MALITBOG,MAYOR,,"OBEN, KENNETH",PDR,5754,203777
SOUTHERN LEYTE,PADRE BURGOS,MAYOR,,"CULPA, HERMIE",LAKAS,4709,202235
SOUTHERN LEYTE,PINTUYAN,MAYOR,,"SALINAS, ANNA LIZA",LAKAS,4313,203266
SOUTHERN LEYTE,SAINT BERNARD,MAYOR,,"MULIG, EDDIE",LAKAS,8908,200210
SOUTHERN LEYTE,SAN FRANCISCO,MAYOR,,"MARUHOM, FE",AKSYON,4684,204815
SOUTHERN LEYTE,SAN JUAN,MAYOR,,"LAPLAP, LOU",LAKAS,5439,200464
SOUTHERN LEYTE,SAN RICARDO,MAYOR,,"DOMINGO, DOKTORA",LAKAS,3300,204295
SOUTHERN LEYTE,SILAGO,MAYOR,,"HONOR, LEMUEL",LAKAS,5622,203003
SOUTHERN LEYTE,SOGOD,MAYOR,,"GOLO, RAMIL",LAKAS,14985,200967
SOUTHERN LEYTE,TOMAS OPPUS,MAYOR,,"PANO, IVAN",NPC,6962,204557
SPECIAL GEOGRAPHIC AREA,KADAYANGAN,MAYOR,,"NAMIL, ABDULMAULA",UBJP,4572,263571
SPECIAL GEOGRAPHIC AREA,KAPALAWAN,MAYOR,,"INALANG, NORMAN",UBJP,9516,263295
SPECIAL GEOGRAPHIC AREA,LIGAWASAN,MAYOR,,"MAMA, BOY HASHIM",UBJP,14698,265247
SPECIAL GEOGRAPHIC AREA,MALIDEGAO,MAYOR,,"TIMAN, ARNAL",UBJP,7507,264425
SPECIAL GEOGRAPHIC AREA,NABALAWAG,MAYOR,,"TUKURAN, DATU RHENZ",SIAP,5304,264135
SPECIAL GEOGRAPHIC AREA,OLD KAABAKAN,MAYOR,,"ENALANG, TONICKS",SIAP,5818,263848
SPECIAL GEOGRAPHIC AREA,PAHAMUDDIN,MAYOR,,"EBRAHIM, YASSER",UBJP,6683,264986
SPECIAL GEOGRAPHIC AREA,TUGUNAN,MAYOR,,"ABAS, ABDULLAH",IND,3711,264704
SULTAN KUDARAT,BAGUMBAYAN,MAYOR,,"SEGURA, BONG",LAKAS,26478,11337
SULTAN KUDARAT,CITY OF TACURONG,MAYOR,,"MONTILLA, LINA",NP,27757,11076
SULTAN KUDARAT,COLUMBIO,MAYOR,,"MANGUDADATU, DATS",LAKAS,12843,12120
SULTAN KUDARAT,ESPERANZA,MAYOR,,"PLOTEÑA, JUNJUN",LAKAS,17916,10810
SULTAN KUDARAT,ISULAN,MAYOR,,"SAKALURAN, BAI RIHAN",LAKAS,29778,9814
SULTAN KUDARAT,KALAMANSIG,MAYOR,,"CABERTE, LESLIE",PFP,14325,12379
SULTAN KUDARAT,LAMBAYONG,MAYOR,,"RECINTO, ERIC",IND,38262,10564
SULTAN KUDARAT,LEBAK,MAYOR,,"CELESTIAL, BONG WHITE",LAKAS,30326,11593
SULTAN KUDARAT,LUTAYAN,MAYOR,,"MANGUDADATU,DATU YASSIN",LAKAS,34385,10321
SULTAN KUDARAT,PALIMBANG,MAYOR,,"KAPINA, MYRNA",LAKAS,27956,12639
SULTAN KUDARAT,PRESIDENT QUIRINO,MAYOR,,"SANDIGAN, MA. KATRINA",LAKAS,25310,10072
SULTAN KUDARAT,SEN. NINOY AQUINO,MAYOR,,"FLAUTA, RAFAEL GEORGE",LAKAS,11426,11849
