year,region,province,city,position,area,candidate_name,party,votes
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"PUSTAHAN, AYYUB",LP,2280
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"IBNAIN, ADUL",LP,2177
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"MANGOMMA, SITTI MERTIM",UNA,2106
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"DAMBONG, MUSAKKAR",UNA,1628
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"SALAPUDDIN, RADJIL",IND,1561
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"UDAH, BASIR",IND,1393
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"ANTA, EDIRIS",UNA,1370
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"GADJALA, RASTAM",UNA,1337
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"SAINUDDIN, ESNIRA",UNA,1256
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"SAHID, SURAH",UNA,1142
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"PADJING, EDIN",IND,194
2010,armm,sulu,old-panamao,"MEMBER, SANGGUNIANG BAYAN",SULU - OLD PANAMAO - LONE DIST,"ADJANI, ABDAN",IND,95
2010,armm,sulu,omar,MAYOR,SULU - OMAR,"AJIBON, NUR-IN",NPC,1407
2010,armm,sulu,omar,MAYOR,SULU - OMAR,"MOHAMMAD, FERHANA",LP,1395
2010,armm,sulu,omar,MAYOR,SULU - OMAR,"OMAR, AHMAD",UNA,1305
2010,armm,sulu,omar,MAYOR,SULU - OMAR,"KAMLON, ADELON",PDP,55
2010,armm,sulu,omar,VICE-MAYOR,SULU - OMAR,"PANTASAN, JUDDIN",LP,2026
2010,armm,sulu,omar,VICE-MAYOR,SULU - OMAR,"OMAR, NUR",UNA,1154
